rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
19025.39999999851,{worker_id:67f15c3a8fc8c9e4819d340d},id_enter,19030,object_05b.png; object_12c.png; object_14c.png; object_02c.png; object_02a.png; object_10c.png; object_03b.png; object_13a.png; object_04a.png; object_08c.png; object_09c.png; object_08b.png; object_08a.png; object_14b.png; object_09a.png,object_05a.png; object_12a.png; object_07b.png; object_13c.png; object_02b.png; object_12b.png; object_13b.png; object_15a.png; object_14a.png; object_11a.png; object_01a.png; object_10b.png; object_04c.png; object_10a.png; object_11c.png,object_01c.png; object_01b.png; object_07c.png; object_11b.png; object_03c.png; object_07a.png; object_06a.png; object_06b.png; object_09b.png; object_03a.png; object_15b.png; object_04b.png; object_05c.png; object_06c.png; object_15c.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,5/2/2025, 2:27:57 PM,2025-05-02 19:27:57.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5495.5,,make_fullscreen,24567,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3734.0999999940395,,instruct_1,28307,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,,
6973.79999999702,,instruct_2,35286,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
8198.39999999851,,instruct_3,43487,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
19183.5,,instruct_4,62673,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
14734.79999999702,,instruct_5,77412,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
5536.5999999940395,,instruct_6,82954,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
27997.5,,instruct_7,110956,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,111897,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,112400,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,114407,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
7063.60000000149,,attentioncheck_help,121476,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,122404,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,123227,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
174.09999999403954,,prac_atten_color_black,125234,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,125831,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
541.6000000014901,,prac_atten_color,126506,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,128511,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,129253,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,129745,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
81.29999999701977,,prac_atten_color_black,131752,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,132679,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
586.7000000029802,,prac_atten_color,133495,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,135503,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,136106,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,136580,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
281.6000000014901,,prac_atten_color_black,138590,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,139528,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
441.8999999985099,,prac_atten_color,140133,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,142140,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,142948,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
629.5999999940395,,prac_atten_color,143897,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,145904,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,146379,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,146859,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
58.29999999701977,,prac_atten_color_black,148867,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,149812,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,150463,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
50.599999994039536,,prac_atten_color_black,152466,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,,
6705.5,,attentioncheck_feedback,159175,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,,,
13840.20000000298,,last_instruct,173017,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),176527,,,,,,,,black_plus_sign,,,null,object_04a.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),177522,,,,,,,,green,,,null,object_04a.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,178028,,,,,,,,green,,,null,object_04a.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,,
751.2000000029802,,prac_rt_thecrossant_black,179050,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,179162,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),182677,,,,,,,,black_plus_sign,,,null,object_08a.png,object_04c.png,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,183122,,,,,,,,green,,,null,object_04a.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,183632,,,,,,,,blue,,,null,object_08a.png,object_04c.png,,,,,,,,,,,,,,,,,,,,,,
980.5,,prac_rt_thecrossant_black,185162,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,185273,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),188784,,,,,,,,black_plus_sign,,,null,object_08c.png,object_11a.png,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,189224,,,,,,,,green,,,null,object_04a.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,,
487.79999999701977,,prac_rt_plussign_withcolor,189728,,,,,,,,green,,,50,object_08c.png,object_11a.png,,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_thecrossant_black,191131,,,,,,,,black_plus_sign,,,null,,,1,1,,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,191243,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),194760,,,,,,,,black_plus_sign,,,null,object_12a.png,object_12c.png,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,195196,,,,,,,,green,,,null,object_04a.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,195706,,,,,,,,blue,,,null,object_12a.png,object_12c.png,,,,,,,,,,,,,,,,,,,,,,
820.7000000029802,,prac_rt_thecrossant_black,196917,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,197032,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
