rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
3471.0999999046326,{worker_id:5cba50bf114fa5001aac5570},id_enter,3472,object_03b.png; object_01c.png; object_08b.png; object_02c.png; object_11a.png; object_01b.png; object_13c.png; object_09c.png; object_13a.png; object_11c.png; object_12a.png; object_03a.png; object_07a.png; object_04b.png; object_05b.png,object_02a.png; object_07c.png; object_07b.png; object_09a.png; object_06c.png; object_04a.png; object_01a.png; object_02b.png; object_15b.png; object_04c.png; object_11b.png; object_09b.png; object_05a.png; object_06b.png; object_05c.png,object_10c.png; object_10a.png; object_10b.png; object_03c.png; object_12c.png; object_15c.png; object_15a.png; object_06a.png; object_08a.png; object_12b.png; object_13b.png; object_08c.png; object_14c.png; object_14b.png; object_14a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12917.899999856949,,make_fullscreen,16392,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2709.4000000953674,,instruct_1,19103,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,,
11364.800000190735,,instruct_2,30469,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
6087.800000190735,,instruct_3,36557,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
17941,,instruct_4,54499,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
9461.100000143051,,instruct_5,63961,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
11825.299999952316,,instruct_6,75787,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
26958.89999985695,,instruct_7,102747,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,103162,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
917.1000001430511,,prac_atten_color,104150,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,106151,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,106566,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,107110,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
322.30000019073486,,prac_atten_color_black,109111,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,109969,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,110610,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
5.6000001430511475,,prac_atten_color_black,112611,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,113373,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
722.7999999523163,,prac_atten_color,114250,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,116252,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,116778,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
525.2999999523163,,prac_atten_color,117719,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,119721,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,120182,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
609.5,,prac_atten_color,121006,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,123008,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,123586,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,124030,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
73.80000019073486,,prac_atten_color_black,126032,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,126991,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
489,,prac_atten_color,127572,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,,
