rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
6940.199999928474,{worker_id:5ef764821269f404a08607d7},id_enter,6946,object_14c.png; object_07a.png; object_11a.png; object_03c.png; object_01b.png; object_06c.png; object_04c.png; object_10a.png; object_10b.png; object_11c.png; object_13a.png; object_02b.png; object_03a.png; object_05a.png; object_02a.png,object_11b.png; object_08c.png; object_09a.png; object_13b.png; object_03b.png; object_12b.png; object_14a.png; object_10c.png; object_05b.png; object_08a.png; object_15c.png; object_04a.png; object_15b.png; object_06b.png; object_13c.png,object_12a.png; object_04b.png; object_01a.png; object_05c.png; object_08b.png; object_09b.png; object_15a.png; object_07c.png; object_12c.png; object_09c.png; object_14b.png; object_06a.png; object_07b.png; object_01c.png; object_02c.png,,,,,,,,,,,,,,,,,,,,,,,,,,
93438.69999992847,,make_fullscreen,100390,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
9412.899999976158,,instruct_1,109822,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
33267.5,,instruct_2,143093,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
96132.39999997616,,instruct_3,239228,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
38932.10000002384,,instruct_4,278165,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
33661.799999952316,,instruct_5,311829,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
33562.299999952316,,instruct_6,345394,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
74061,,instruct_7,419458,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,419865,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,420870,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
551.1000000238419,,prac_atten_color_black,422889,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
