rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
11008.599999999627,{worker_id:6508629c72cd8387353b5552},id_enter,11010,object_06a.png; object_02b.png; object_05c.png; object_11c.png; object_06b.png; object_03b.png; object_14a.png; object_08b.png; object_15b.png; object_08a.png; object_08c.png; object_14c.png; object_12a.png; object_02a.png; object_05b.png,object_07c.png; object_06c.png; object_14b.png; object_09c.png; object_10a.png; object_05a.png; object_02c.png; object_09a.png; object_01b.png; object_11b.png; object_15c.png; object_01c.png; object_10b.png; object_07a.png; object_04c.png,object_01a.png; object_13a.png; object_12c.png; object_13b.png; object_04b.png; object_10c.png; object_03c.png; object_11a.png; object_03a.png; object_07b.png; object_09b.png; object_12b.png; object_04a.png; object_13c.png; object_15a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
6429.699999999255,,make_fullscreen,17441,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
4382.9000000003725,,instruct_1,21825,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
15454.699999999255,,instruct_2,37281,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
10703.200000000186,,instruct_3,47985,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
41934.90000000037,,instruct_4,89921,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
17175,,instruct_5,107097,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
6039.100000000559,,instruct_6,113138,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
71007.10000000056,,instruct_7,184145,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,185033,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,185554,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,187569,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
5808.0999999996275,,attentioncheck_help,193378,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,194273,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
584.4000000003725,,prac_atten_color,195030,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,197045,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,197691,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
525.7000000001863,,prac_atten_color,198369,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,200381,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,201115,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
533.7999999998137,,prac_atten_color,201767,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,203774,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,204537,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
536.5999999996275,,prac_atten_color,205556,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,207559,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,207959,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
426.29999999981374,,prac_atten_color,208580,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,210592,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,211386,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,211872,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
104.90000000037253,,prac_atten_color_black,213879,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,214812,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
