rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
24618.599999964237,{worker_id:665cbfcf8534afbb16c06687},id_enter,24620,object_14b.png; object_13b.png; object_05a.png; object_15b.png; object_11c.png; object_09b.png; object_03a.png; object_08b.png; object_09a.png; object_12b.png; object_06c.png; object_15a.png; object_04b.png; object_14c.png; object_04c.png,object_06a.png; object_10b.png; object_12a.png; object_02c.png; object_01a.png; object_11b.png; object_03b.png; object_11a.png; object_15c.png; object_03c.png; object_08c.png; object_13a.png; object_07a.png; object_07b.png; object_12c.png,object_02a.png; object_10c.png; object_05b.png; object_04a.png; object_13c.png; object_07c.png; object_09c.png; object_01b.png; object_06b.png; object_01c.png; object_14a.png; object_05c.png; object_02b.png; object_08a.png; object_10a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 11:43:42 AM,2025-04-28 16:43:42.989,,,,,,,,,,,,,,,
31786.5,,make_fullscreen,56420,,,,,,,,fullscreen,0,,,,,,,,,,,,,
91603.80000001192,,instruct_1,148024,,,,,,,,instruct,0,Next,,,,,,,,,,,,
8102.199999988079,,instruct_2,156127,,,,,,,,instruct,1,Next,,,,,,,,,,,,
17412.299999952316,,instruct_3,173540,,,,,,,,instruct,1,Next,,,,,,,,,,,,
6867.300000011921,,instruct_4,180408,,,,,,,,instruct,1,Next,,,,,,,,,,,,
4123.399999976158,,instruct_5,184532,,,,,,,,instruct,1,Next,,,,,,,,,,,,
2108.5,,instruct_6,186641,,,,,,,,instruct,1,Next,,,,,,,,,,,,
12617.300000011921,,instruct_7,199259,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,199648,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
605.1000000238419,,prac_atten_color,200667,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,202675,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,203068,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
563.0999999642372,,prac_atten_color,203654,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
