rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
6951.099999964237,{worker_id:66a919ed216b817cbfd778f2},id_enter,6954,object_02b.png; object_11a.png; object_10a.png; object_10b.png; object_09c.png; object_07b.png; object_08c.png; object_09a.png; object_05c.png; object_05b.png; object_07a.png; object_01a.png; object_02a.png; object_03b.png; object_14c.png,object_04c.png; object_08a.png; object_12c.png; object_13b.png; object_06c.png; object_01c.png; object_13a.png; object_06b.png; object_04a.png; object_15c.png; object_15b.png; object_09b.png; object_03c.png; object_11c.png; object_11b.png,object_15a.png; object_12b.png; object_04b.png; object_14b.png; object_14a.png; object_13c.png; object_03a.png; object_07c.png; object_06a.png; object_08b.png; object_01b.png; object_02c.png; object_10c.png; object_05a.png; object_12a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,4/28/2025, 7:38:38 PM,2025-04-28 23:38:38.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13921.400000035763,,make_fullscreen,20897,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4549.100000023842,,instruct_1,25448,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,,
8134.5,,instruct_2,33584,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
7567.099999964237,,instruct_3,41153,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
20414.80000001192,,instruct_4,61568,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
8622.899999976158,,instruct_5,70192,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
4575,,instruct_6,74768,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
48846.80000001192,,instruct_7,123616,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,124143,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,125021,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,127022,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
5483.800000011921,,attentioncheck_help,132507,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,133032,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,133716,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
515.6000000238419,,prac_atten_color_black,135717,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,136436,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,136841,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
818.3000000119209,,prac_atten_color_black,138841,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,139840,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
1050,,prac_atten_color,140908,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,142909,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,143248,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,143866,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
412.69999998807907,,prac_atten_color_black,145869,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,146655,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,147274,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
1064.6000000238419,,prac_atten_color_black,149275,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,150060,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,150935,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,,
279.5999999642372,,prac_atten_color_black,152937,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,153464,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
