rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,completion_code
10401.900000000373,{worker_id:67f77eeb17f488a7e909f402@email.prolific.com},id_enter,10403,object_09a.png; object_01c.png; object_01a.png; object_04b.png; object_03c.png; object_07b.png; object_12c.png; object_13b.png; object_05c.png; object_04a.png; object_11a.png; object_08a.png; object_09c.png; object_14a.png; object_14b.png,object_15c.png; object_14c.png; object_12b.png; object_01b.png; object_06c.png; object_05b.png; object_10b.png; object_03b.png; object_06a.png; object_02b.png; object_03a.png; object_13a.png; object_10c.png; object_13c.png; object_07c.png,object_08c.png; object_11c.png; object_11b.png; object_15b.png; object_04c.png; object_08b.png; object_02c.png; object_02a.png; object_06b.png; object_07a.png; object_12a.png; object_15a.png; object_09b.png; object_10a.png; object_05a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 6:52:28 PM,2025-04-28 23:52:28.814,,,,,,,,,,,,,,,,
19899.299999999814,,make_fullscreen,30315,,,,,,,,fullscreen,0,,,,,,,,,,,,,,
5531.700000000186,,instruct_1,35850,,,,,,,,instruct,0,Next,,,,,,,,,,,,,
13086.100000000559,,instruct_2,48938,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
7415.399999999441,,instruct_3,56355,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
13038.599999999627,,instruct_4,69394,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
11903.5,,instruct_5,81298,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
4303.0999999996275,,instruct_6,85602,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
25319.5,,instruct_7,110922,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
null,,prac_atten_color_black,111551,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,112327,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,114329,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
7753.300000000745,,attentioncheck_help,122084,,,,,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_atten_color_black,122713,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
417,,prac_atten_color,123241,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,
984.7999999998137,,prac_atten_color_black,125243,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,126121,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,126589,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
221.29999999981374,,prac_atten_color_black,128591,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,129527,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,130056,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
305.70000000018626,,prac_atten_color_black,132057,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,132934,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,133404,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
190.3999999994412,,prac_atten_color_black,135406,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,136340,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,136820,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
326.09999999962747,,prac_atten_color_black,138822,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,139746,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,140465,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
384.90000000037253,,prac_atten_color_black,142466,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,143151,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,144075,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
7.400000000372529,,prac_atten_color_black,146076,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,146557,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,147607,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
82.59999999962747,,prac_atten_color_black,149609,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,149965,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,150509,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
340.79999999981374,,prac_atten_color_black,152511,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,
7514.4000000003725,,attentioncheck_feedback,160027,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,
8135.5,,last_instruct,168163,,,,,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_learn_phase(without_color),171666,,,,,,,,black_plus_sign,,,null,object_07b.png,object_05b.png,,,,,,,,,,
null,,prac_black_cross(without_color),172258,,,,,,,,blue,,,null,object_07b.png,object_05b.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,172760,,,,,,,,blue,,,null,object_07b.png,object_05b.png,,,,,,,,,,
null,,prac_rt_thecrossant_black,174172,,,,,,,,black_plus_sign,,,null,,,NaN,,,,,,,,,
null,,prac_color_black,174274,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),177775,,,,,,,,black_plus_sign,,,null,object_06c.png,object_04c.png,,,,,,,,,,
null,,black_cross(without_color)1,178430,,,,,,,,green,,,null,object_07b.png,object_05b.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,178932,,,,,,,,blue,,,null,object_06c.png,object_04c.png,,,,,,,,,,
