rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
5760,{worker_id:66e4c4358de330a06b4d33f1},id_enter,5763,object_04a.png; object_01b.png; object_06b.png; object_01c.png; object_07a.png; object_07b.png; object_09b.png; object_10a.png; object_03b.png; object_10b.png; object_05a.png; object_11c.png; object_12c.png; object_14a.png; object_14c.png,object_08c.png; object_08a.png; object_07c.png; object_08b.png; object_04c.png; object_09a.png; object_09c.png; object_11a.png; object_02b.png; object_02c.png; object_05b.png; object_13c.png; object_13a.png; object_15b.png; object_14b.png,object_01a.png; object_03c.png; object_06c.png; object_04b.png; object_02a.png; object_06a.png; object_03a.png; object_11b.png; object_10c.png; object_05c.png; object_13b.png; object_12b.png; object_12a.png; object_15c.png; object_15a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,4/28/2025, 9:32:18 AM,2025-04-28 16:32:18.677,,,,,,,,,,,,,,,
8355,,make_fullscreen,14141,,,,,,,,fullscreen,0,,,,,,,,,,,,,
2977,,instruct_1,17123,,,,,,,,instruct,0,Next,,,,,,,,,,,,
11378,,instruct_2,28505,,,,,,,,instruct,1,Next,,,,,,,,,,,,
5392,,instruct_3,33898,,,,,,,,instruct,1,Next,,,,,,,,,,,,
20103,,instruct_4,54004,,,,,,,,instruct,1,Next,,,,,,,,,,,,
12458,,instruct_5,66464,,,,,,,,instruct,1,Next,,,,,,,,,,,,
4197,,instruct_6,70663,,,,,,,,instruct,1,Next,,,,,,,,,,,,
19718,,instruct_7,90382,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,91346,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,91790,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
1701,,prac_atten_color_black,94000,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,
5063,,attentioncheck_help,99065,,,,,,,,instruct,,,32,,,,,,,,,,,
