rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
8940.89999999851,{worker_id:6732ca9052a3b5780ec6068a},id_enter,8957,object_10c.png; object_02b.png; object_06a.png; object_02a.png; object_01c.png; object_04c.png; object_12a.png; object_14a.png; object_06c.png; object_15c.png; object_11b.png; object_09b.png; object_06b.png; object_04a.png; object_07c.png,object_09a.png; object_08b.png; object_03b.png; object_10b.png; object_14b.png; object_09c.png; object_12b.png; object_11c.png; object_03c.png; object_04b.png; object_08a.png; object_03a.png; object_05a.png; object_11a.png; object_01a.png,object_02c.png; object_07a.png; object_13c.png; object_12c.png; object_15b.png; object_15a.png; object_13a.png; object_05b.png; object_13b.png; object_05c.png; object_10a.png; object_08c.png; object_01b.png; object_07b.png; object_14c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
19413.699999999255,,make_fullscreen,28374,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
6991.699999999255,,instruct_1,35368,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
23283.699999999255,,instruct_2,58667,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
11112.5,,instruct_3,69781,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
23202.79999999702,,instruct_4,92984,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
10604.199999999255,,instruct_5,103590,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
4389.400000002235,,instruct_6,107980,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
26206.5,,instruct_7,134188,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,135134,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,135592,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
416.29999999701977,,prac_atten_color_black,137593,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,138540,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,139041,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
270,,prac_atten_color_black,141043,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,141946,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
533,,prac_atten_color,142759,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,144760,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,145352,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,145892,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
11.399999998509884,,prac_atten_color_black,147894,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,148757,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
595.1000000014901,,prac_atten_color,149758,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,151760,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,152163,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,152770,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
446.1000000014901,,prac_atten_color_black,154772,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,155569,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,156115,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
156.19999999925494,,prac_atten_color_black,158118,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,158976,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,159580,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
27.199999999254942,,prac_atten_color_black,161582,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,162382,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
