rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,completion_code
12743.099999964237,{worker_id:63e7f2a754618d35c2b61ba5},id_enter,12746,object_04a.png; object_13a.png; object_07c.png; object_04b.png; object_11b.png; object_11c.png; object_15c.png; object_09b.png; object_07a.png; object_10c.png; object_01a.png; object_14a.png; object_14c.png; object_03a.png; object_05b.png,object_03b.png; object_08b.png; object_06a.png; object_12a.png; object_05c.png; object_08c.png; object_02a.png; object_01c.png; object_10a.png; object_06b.png; object_03c.png; object_12b.png; object_05a.png; object_06c.png; object_11a.png,object_12c.png; object_09c.png; object_13c.png; object_02c.png; object_15a.png; object_08a.png; object_04c.png; object_14b.png; object_15b.png; object_07b.png; object_09a.png; object_01b.png; object_02b.png; object_13b.png; object_10b.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/11/2025, 7:40:02 PM,2025-05-11 23:40:02.544,,,,,,,,,,,,,,,,
21233.900000035763,,make_fullscreen,34007,,,,,,,,fullscreen,0,,,,,,,,,,,,,,
5735,,instruct_1,39745,,,,,,,,instruct,0,Next,,,,,,,,,,,,,
14077.699999988079,,instruct_2,53824,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
9853,,instruct_3,63679,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
22854.099999964237,,instruct_4,86534,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
13426.399999976158,,instruct_5,99962,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
10031.199999988079,,instruct_6,109994,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
40062.60000002384,,instruct_7,150058,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
null,,prac_atten_color_black,150598,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,151465,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
419.19999998807907,,prac_atten_color_black,153468,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,154010,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,154482,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
