rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,completion_code
10507,{worker_id:5ed9c285b8c16356b385a97f},id_enter,10509,object_02b.png; object_11b.png; object_04b.png; object_03a.png; object_04a.png; object_05b.png; object_12b.png; object_13c.png; object_08c.png; object_03c.png; object_09c.png; object_15b.png; object_11c.png; object_13b.png; object_01c.png,object_10b.png; object_07c.png; object_06b.png; object_02c.png; object_09b.png; object_11a.png; object_03b.png; object_05c.png; object_01b.png; object_06c.png; object_14a.png; object_12c.png; object_15a.png; object_07b.png; object_04c.png,object_07a.png; object_02a.png; object_13a.png; object_12a.png; object_05a.png; object_01a.png; object_14c.png; object_09a.png; object_15c.png; object_06a.png; object_08a.png; object_10c.png; object_14b.png; object_08b.png; object_10a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/11/2025, 6:57:22 PM,2025-05-11 22:57:22.960,,,,,,,,,,,,,,,,
35297.59999990463,,make_fullscreen,45823,,,,,,,,fullscreen,0,,,,,,,,,,,,,,
8053.299999952316,,instruct_1,53877,,,,,,,,instruct,0,Next,,,,,,,,,,,,,
20508.700000047684,,instruct_2,74387,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
8294,,instruct_3,82682,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
29859.799999952316,,instruct_4,112543,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
28369.700000047684,,instruct_5,140914,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
5444,,instruct_6,146359,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
66310.09999990463,,instruct_7,212670,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
null,,prac_atten_color_black,213273,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,214086,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
1459.3999998569489,,prac_atten_color_black,216088,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,216680,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
968.5,,prac_atten_color,217681,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,219683,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,220086,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,220744,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
253.09999990463257,,prac_atten_color_black,222746,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,223491,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
677.5,,prac_atten_color,224199,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,226200,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,226898,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,227428,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
221.10000014305115,,prac_atten_color_black,229431,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,
