rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
32952.40000009537,{worker_id:67dd93a4fe9f3e8ed3ace123},id_enter,32962,object_03b.png; object_12b.png; object_14c.png; object_04b.png; object_10b.png; object_09c.png; object_12c.png; object_09a.png; object_03a.png; object_04a.png; object_02c.png; object_12a.png; object_13a.png; object_10c.png; object_06a.png,object_14b.png; object_01a.png; object_08a.png; object_03c.png; object_09b.png; object_08c.png; object_02a.png; object_07c.png; object_13b.png; object_15c.png; object_05c.png; object_10a.png; object_15a.png; object_05a.png; object_15b.png,object_04c.png; object_14a.png; object_07b.png; object_01b.png; object_11b.png; object_02b.png; object_05b.png; object_08b.png; object_06b.png; object_11c.png; object_13c.png; object_07a.png; object_06c.png; object_11a.png; object_01c.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,5/8/2025, 2:51:21 PM,2025-05-08 18:51:21.994,,,,,,,,,,,,,,,
41217.40000009537,,make_fullscreen,74242,,,,,,,,fullscreen,0,,,,,,,,,,,,,
43923.59999990463,,instruct_1,118172,,,,,,,,instruct,0,Next,,,,,,,,,,,,
27540.599999904633,,instruct_2,145722,,,,,,,,instruct,1,Next,,,,,,,,,,,,
16365.799999713898,,instruct_3,162090,,,,,,,,instruct,1,Next,,,,,,,,,,,,
49619.2000002861,,instruct_4,211716,,,,,,,,instruct,1,Next,,,,,,,,,,,,
23341,,instruct_5,235066,,,,,,,,instruct,1,Next,,,,,,,,,,,,
9148.300000190735,,instruct_6,244217,,,,,,,,instruct,1,Next,,,,,,,,,,,,
59496.10000038147,,instruct_7,303717,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,304412,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,305140,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
