rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,accuracy,prac_weighted_accuracy,cumulative_accuracy,failed_practice
7224.199999988079,{worker_id:66773db510940dbd43e1e679},id_enter,7229,object_11b.png; object_02c.png; object_07b.png; object_10c.png; object_13c.png; object_10a.png; object_09b.png; object_11a.png; object_04c.png; object_15a.png; object_15b.png; object_07a.png; object_03a.png; object_09a.png; object_14c.png,object_12c.png; object_11c.png; object_12b.png; object_01a.png; object_12a.png; object_01c.png; object_13a.png; object_08c.png; object_07c.png; object_13b.png; object_04b.png; object_15c.png; object_06a.png; object_05b.png; object_10b.png,object_08a.png; object_02a.png; object_05c.png; object_01b.png; object_08b.png; object_05a.png; object_03b.png; object_02b.png; object_09c.png; object_06b.png; object_03c.png; object_14a.png; object_14b.png; object_06c.png; object_04a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 12:37:21 PM,2025-04-28 16:37:21.394,,,,,,,,,,,,,,,
13188.100000023842,,make_fullscreen,20454,,,,,,,,fullscreen,0,,,,,,,,,,,,,
7836.600000023842,,instruct_1,28297,,,,,,,,instruct,0,Next,,,,,,,,,,,,
13545.5,,instruct_2,41847,,,,,,,,instruct,1,Next,,,,,,,,,,,,
5013.300000011921,,instruct_3,46862,,,,,,,,instruct,1,Next,,,,,,,,,,,,
16337.200000047684,,instruct_4,63202,,,,,,,,instruct,1,Next,,,,,,,,,,,,
10552.799999952316,,instruct_5,73756,,,,,,,,instruct,1,Next,,,,,,,,,,,,
4198,,instruct_6,77956,,,,,,,,instruct,1,Next,,,,,,,,,,,,
43746.40000003576,,instruct_7,121705,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,122287,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,123128,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
268.5999999642372,,prac_atten_color_black,125135,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,
null,,prac_atten_color_black,125720,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,126480,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
1250.8999999761581,,prac_atten_color_black,128482,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,
null,,prac_atten_color_black,129144,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,129715,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
null,,prac_atten_color_black,131721,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
9203.199999988079,,attentioncheck_help,140926,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,141770,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,142768,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
null,,prac_atten_color_black,144788,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
5208.300000011921,,attentioncheck_help,149998,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,150425,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,151073,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
766.8000000119209,,prac_atten_color_black,153085,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,
null,,prac_atten_color_black,153863,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,154591,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
429.9000000357628,,prac_atten_color_black,156602,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,
null,,prac_atten_color_black,157282,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,157847,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
440.30000001192093,,prac_atten_color_black,159855,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,
null,,prac_atten_color_black,160720,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,161488,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
240.5999999642372,,prac_atten_color_black,163494,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,
