rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
15855.5,{worker_id:67db5618164a0fc0678e84d6},id_enter,15859,object_01c.png; object_07c.png; object_07a.png; object_13a.png; object_06b.png; object_07b.png; object_01b.png; object_02b.png; object_04b.png; object_06a.png; object_14c.png; object_05c.png; object_15c.png; object_04a.png; object_02c.png,object_05b.png; object_08c.png; object_13b.png; object_01a.png; object_09b.png; object_03c.png; object_10b.png; object_08a.png; object_05a.png; object_13c.png; object_06c.png; object_11a.png; object_14a.png; object_12b.png; object_12a.png,object_09c.png; object_11b.png; object_15b.png; object_08b.png; object_10a.png; object_09a.png; object_11c.png; object_12c.png; object_04c.png; object_02a.png; object_10c.png; object_03a.png; object_03b.png; object_14b.png; object_15a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/2/2025, 4:44:00 PM,2025-05-02 21:44:00.125,,,,,,,,,,,,,,,,,,,,,,,,,
242708.5,,make_fullscreen,258603,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,
3730.300000000745,,instruct_1,262337,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,
15526.89999999851,,instruct_2,277866,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
7784.900000002235,,instruct_3,285653,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
17392.60000000149,,instruct_4,303047,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
12315.699999999255,,instruct_5,315366,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
5205.800000000745,,instruct_6,320573,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
49247.300000000745,,instruct_7,369822,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,370480,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,371242,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,373244,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
12965.400000002235,,attentioncheck_help,386211,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,386867,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
694.3000000007451,,prac_atten_color,387693,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,389704,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,390282,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,390810,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,
89.60000000149012,,prac_atten_color_black,392812,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,393692,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
435.0999999977648,,prac_atten_color,394621,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,396623,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,397099,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
505.20000000298023,,prac_atten_color,398135,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,400136,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,400512,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,401287,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,
72.69999999925494,,prac_atten_color_black,403289,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,403919,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
523.5,,prac_atten_color,404768,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,406772,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,407333,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
506.6000000014901,,prac_atten_color,408306,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,410307,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,410740,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
522.6999999992549,,prac_atten_color,411438,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,413441,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,414146,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
443.30000000074506,,prac_atten_color,415014,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,417016,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
8809.800000000745,,attentioncheck_feedback,425828,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,
7741.099999997765,,last_instruct,433570,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),437072,,,,,,,,black_plus_sign,,,null,object_04a.png,object_12b.png,,,,,,,,,,,,,,,,,,,
