rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
75877.29999999702,{worker_id:67f08fc0a2759404677ce665},id_enter,75879,object_10b.png; object_14c.png; object_01a.png; object_09b.png; object_12b.png; object_08c.png; object_02b.png; object_11c.png; object_12c.png; object_08b.png; object_14b.png; object_04b.png; object_14a.png; object_13a.png; object_12a.png,object_02a.png; object_07a.png; object_07c.png; object_04c.png; object_05a.png; object_09c.png; object_01b.png; object_06b.png; object_04a.png; object_03a.png; object_08a.png; object_05b.png; object_06c.png; object_11b.png; object_10a.png,object_02c.png; object_03b.png; object_10c.png; object_03c.png; object_11a.png; object_05c.png; object_15a.png; object_06a.png; object_15b.png; object_01c.png; object_13c.png; object_07b.png; object_13b.png; object_09a.png; object_15c.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/2/2025, 3:20:11 PM,2025-05-02 19:20:11.541,,,,,,,,,,,,,,,,,,,,,,,
45236,,make_fullscreen,121125,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,
9379.89999999106,,instruct_1,130507,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,
116512.09999999404,,instruct_2,247021,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
10286.90000000596,,instruct_3,257309,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
68469.20000000298,,instruct_4,325779,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
17216.5,,instruct_5,342997,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
6469.29999999702,,instruct_6,349467,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
73086.40000000596,,instruct_7,422554,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,423112,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
