rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
20776.30000001192,{worker_id:67f0f41f47eb50d095c38f61},id_enter,20785,object_03a.png; object_02b.png; object_07b.png; object_12a.png; object_15a.png; object_07c.png; object_01b.png; object_11c.png; object_11b.png; object_09b.png; object_14c.png; object_10b.png; object_05c.png; object_10c.png; object_05a.png,object_04a.png; object_13b.png; object_08b.png; object_12b.png; object_07a.png; object_15c.png; object_02a.png; object_10a.png; object_14b.png; object_08c.png; object_04c.png; object_03b.png; object_02c.png; object_05b.png; object_13a.png,object_15b.png; object_03c.png; object_13c.png; object_01a.png; object_06a.png; object_12c.png; object_09a.png; object_06c.png; object_01c.png; object_06b.png; object_04b.png; object_09c.png; object_14a.png; object_08a.png; object_11a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 11:51:45 AM,2025-04-28 16:51:45.387,,,,,,,,,,,,,,,,,,,,,,,,,,
3987.0999999940395,,make_fullscreen,24814,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
97169.80000001192,,instruct_1,121989,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
187507.69999998808,,instruct_2,309501,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
11677.699999988079,,instruct_3,321181,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
78373.59999999404,,instruct_4,399557,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
18717.59999999404,,instruct_5,418277,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
4589.700000017881,,instruct_6,422868,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
45469.80000001192,,instruct_7,468340,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,468853,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,469752,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
665.2999999821186,,prac_atten_color_black,471757,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,472283,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,472704,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
286.09999999403954,,prac_atten_color_black,474713,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,475706,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
552.5999999940395,,prac_atten_color,476743,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,478758,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,479146,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,479586,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
754.0999999940395,,prac_atten_color_black,481597,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,482575,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,483412,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
178.7000000178814,,prac_atten_color_black,485422,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,486013,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,486449,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
664.7999999821186,,prac_atten_color_black,488461,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,489449,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,489868,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
406.10000002384186,,prac_atten_color_black,491874,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,492878,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
838.9000000059605,,prac_atten_color,493867,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,495875,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,496314,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,497332,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
0.5,,prac_atten_color_black,499342,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,499761,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,500333,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
160,,prac_atten_color_black,502345,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
17982.5,,attentioncheck_feedback,520332,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,
57106.30000001192,,last_instruct,577440,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),580946,,,,,,,,black_plus_sign,,,null,object_14b.png,object_01c.png,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),581841,,,,,,,,blue,,,null,object_14b.png,object_01c.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,582352,,,,,,,,blue,,,null,object_14b.png,object_01c.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_thecrossant_black,583481,,,,,,,,black_plus_sign,,,null,,,NaN,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,583590,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),587096,,,,,,,,black_plus_sign,,,null,object_12a.png,object_12b.png,,,,,,,,,,,,,,,,,,,,
