rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
93804.79999999702,{worker_id:ivyguo},id_enter,93805,object_04a.png; object_12a.png; object_07a.png; object_07c.png; object_06b.png; object_01a.png; object_05b.png; object_09a.png; object_12b.png; object_02c.png; object_13a.png; object_02a.png; object_07b.png; object_03c.png; object_10a.png,object_06c.png; object_05a.png; object_11a.png; object_01c.png; object_01b.png; object_10b.png; object_10c.png; object_08b.png; object_02b.png; object_15a.png; object_03a.png; object_04b.png; object_14b.png; object_05c.png; object_14a.png,object_11b.png; object_11c.png; object_08a.png; object_04c.png; object_12c.png; object_15b.png; object_06a.png; object_13b.png; object_13c.png; object_15c.png; object_08c.png; object_03b.png; object_09c.png; object_09b.png; object_14c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
6670.9000000059605,,make_fullscreen,100482,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
43059.40000000596,,instruct_1,143545,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
23280.90000000596,,instruct_2,166827,,,,instruct,0,Previous,,,,,,,,,,,,,,,,,,,,,,,,
6660.100000008941,,instruct_1,173489,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
3924,,instruct_2,177415,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
33575,,instruct_3,210999,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
55514.20000000298,,instruct_4,266528,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
21951.10000000894,,instruct_5,288481,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
7559.9000000059605,,instruct_6,296042,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
68150,,instruct_7,364192,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,364779,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,365599,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,367603,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
