rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy
4496.099999904633,{worker_id:67e7fb5fae781ce7046bd895},id_enter,4500,object_06a.png; object_06c.png; object_14c.png; object_11a.png; object_08a.png; object_10b.png; object_04b.png; object_07a.png; object_04c.png; object_09b.png; object_01b.png; object_05c.png; object_15c.png; object_02a.png; object_03c.png,object_05b.png; object_04a.png; object_10a.png; object_12b.png; object_14a.png; object_07b.png; object_11b.png; object_07c.png; object_01a.png; object_08b.png; object_11c.png; object_09a.png; object_15b.png; object_08c.png; object_13c.png,object_13b.png; object_12a.png; object_02c.png; object_10c.png; object_03b.png; object_09c.png; object_14b.png; object_02b.png; object_13a.png; object_06b.png; object_03a.png; object_01c.png; object_12c.png; object_05a.png; object_15a.png,,,,,,,,,,,,,,,
1794.0999999046326,,make_fullscreen,6300,,,,fullscreen,0,,,,,,,,,,,,,
1374.1999998092651,,instruct_1,7676,,,,instruct,0,Next,,,,,,,,,,,,
1181.5,,instruct_2,8859,,,,instruct,1,Next,,,,,,,,,,,,
798.5999999046326,,instruct_3,9659,,,,instruct,1,Next,,,,,,,,,,,,
5694.599999904633,,instruct_4,15356,,,,instruct,1,Next,,,,,,,,,,,,
1286.1999998092651,,instruct_5,16644,,,,instruct,1,Next,,,,,,,,,,,,
893.9000000953674,,instruct_6,17539,,,,instruct,1,Next,,,,,,,,,,,,
2743.0999999046326,,instruct_7,20283,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,20687,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,21688,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
325.7999997138977,,prac_atten_color_black,23691,,,,black_plus_sign,,,49,,,,,,,,,,,
null,,prac_atten_color_black,24096,,,,black_plus_sign,,,null,,,,,,,,,,,
775.2999997138977,,prac_atten_color,24962,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,26964,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,27509,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,28059,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
833,,prac_atten_color_black,30061,,,,black_plus_sign,,,50,,,,,,,,,,,
null,,prac_atten_color_black,30916,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,31614,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
130.69999980926514,,prac_atten_color_black,33617,,,,black_plus_sign,,,49,,,,,,,,,,,
null,,prac_atten_color_black,34325,,,,black_plus_sign,,,null,,,,,,,,,,,
