rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
12581.09999999404,{worker_id:67eddf79a7c1d23c1535e17d},id_enter,12586,object_08c.png; object_13c.png; object_14c.png; object_05c.png; object_03c.png; object_02b.png; object_02a.png; object_04b.png; object_09b.png; object_11c.png; object_07a.png; object_03a.png; object_07b.png; object_12b.png; object_05b.png,object_01a.png; object_09c.png; object_13a.png; object_08b.png; object_01b.png; object_04c.png; object_15c.png; object_11a.png; object_08a.png; object_02c.png; object_12a.png; object_06c.png; object_11b.png; object_10c.png; object_10a.png,object_14a.png; object_03b.png; object_15a.png; object_07c.png; object_13b.png; object_01c.png; object_09a.png; object_06a.png; object_04a.png; object_12c.png; object_15b.png; object_05a.png; object_06b.png; object_10b.png; object_14b.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,5/11/2025, 7:04:39 PM,2025-05-11 23:04:39.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074.5,,make_fullscreen,22703,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6305.399999976158,,instruct_1,29013,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,,
4186.899999976158,,instruct_2,33205,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
2198.4000000059605,,instruct_3,35406,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
6499.5,,instruct_4,41909,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
20091.29999998212,,instruct_5,62005,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
4484.300000011921,,instruct_6,66493,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
2761.2999999821186,,instruct_7,69258,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,69940,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,,
