rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
21922.5,{worker_id:653f2424042d03012eb92ef5},id_enter,21927,object_12c.png; object_03c.png; object_02b.png; object_08c.png; object_11a.png; object_05b.png; object_09b.png; object_07c.png; object_06c.png; object_13c.png; object_01b.png; object_09a.png; object_05c.png; object_11c.png; object_03a.png,object_15c.png; object_10b.png; object_15b.png; object_04a.png; object_03b.png; object_10c.png; object_12b.png; object_04c.png; object_14a.png; object_01c.png; object_02c.png; object_11b.png; object_13a.png; object_01a.png; object_14c.png,object_04b.png; object_08b.png; object_07b.png; object_14b.png; object_02a.png; object_06a.png; object_15a.png; object_08a.png; object_12a.png; object_07a.png; object_09c.png; object_13b.png; object_05a.png; object_06b.png; object_10a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/11/2025, 5:12:42 PM,2025-05-11 22:12:42.956,,,,,,,,,,,,,,,,,,,,,,,,,,,
67776.39999997616,,make_fullscreen,89726,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
3441.5,,instruct_1,93173,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
7004.099999964237,,instruct_2,100181,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
5959.300000011921,,instruct_3,106142,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
173975.19999998808,,instruct_4,280118,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
8301.100000023842,,instruct_5,288422,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
3127.399999976158,,instruct_6,291550,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
213767.19999998808,,instruct_7,505318,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,506186,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,506724,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,508726,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
10262.599999964237,,attentioncheck_help,518992,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,519859,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
