rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
17004.20000000298,{worker_id:676d746ed2391d1de669298a},id_enter,17006,object_05c.png; object_08b.png; object_01b.png; object_12a.png; object_03a.png; object_02b.png; object_12c.png; object_03c.png; object_14a.png; object_15b.png; object_13b.png; object_10b.png; object_02a.png; object_03b.png; object_11a.png,object_13c.png; object_01a.png; object_04c.png; object_04b.png; object_01c.png; object_08c.png; object_11b.png; object_04a.png; object_13a.png; object_05a.png; object_15a.png; object_05b.png; object_06c.png; object_15c.png; object_08a.png,object_02c.png; object_09b.png; object_14c.png; object_07c.png; object_09c.png; object_10a.png; object_12b.png; object_06b.png; object_07b.png; object_11c.png; object_10c.png; object_07a.png; object_09a.png; object_06a.png; object_14b.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 7:33:12 PM,2025-04-28 23:33:12.440,,,,,,,,,,,,,,,,,,,,,,,,,,
11958.69999999553,,make_fullscreen,29003,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
3544,,instruct_1,32570,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
8950.5,,instruct_2,41543,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
6732,,instruct_3,48277,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
14913.29999999702,,instruct_4,63193,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
12246.29999999702,,instruct_5,75441,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
4629.39999999851,,instruct_6,80072,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
20239.79999999702,,instruct_7,100313,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,100800,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,101733,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,103737,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
11134.60000000149,,attentioncheck_help,114874,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,115370,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
781.8000000044703,,prac_atten_color,116458,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
