rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
18893.40000000596,{worker_id:6726c70622b97e6722fa53d8},id_enter,18895,object_08b.png; object_03b.png; object_11b.png; object_12c.png; object_06c.png; object_05b.png; object_10c.png; object_02a.png; object_01b.png; object_12b.png; object_02c.png; object_10b.png; object_08a.png; object_13a.png; object_15c.png,object_02b.png; object_14a.png; object_11c.png; object_03a.png; object_09a.png; object_05c.png; object_07a.png; object_01c.png; object_10a.png; object_08c.png; object_07b.png; object_01a.png; object_04c.png; object_11a.png; object_15a.png,object_04a.png; object_09c.png; object_14c.png; object_14b.png; object_06b.png; object_03c.png; object_06a.png; object_05a.png; object_04b.png; object_13b.png; object_07c.png; object_15b.png; object_09b.png; object_12a.png; object_13c.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 7:35:24 PM,2025-04-28 23:35:24.509,,,,,,,,,,,,,,,,,,,,,,,,,,,
20325,,make_fullscreen,39235,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
10990,,instruct_1,50227,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
17430.90000000596,,instruct_2,67661,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
8681.5,,instruct_3,76345,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
19042.19999998808,,instruct_4,95389,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
12942.300000011921,,instruct_5,108333,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
7953.700000017881,,instruct_6,116288,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
34818,,instruct_7,151109,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,151831,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,152529,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
695.5999999940395,,prac_atten_color_black,154544,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
8104.399999976158,,attentioncheck_help,162652,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,163381,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,164296,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
