rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
14410.800000011921,{worker_id:67da893b401289d9d4573047},id_enter,14414,object_11a.png; object_04c.png; object_09c.png; object_06a.png; object_05b.png; object_07a.png; object_08a.png; object_01b.png; object_10a.png; object_10b.png; object_12b.png; object_03c.png; object_07c.png; object_13b.png; object_06c.png,object_15c.png; object_09a.png; object_11c.png; object_11b.png; object_09b.png; object_04b.png; object_05c.png; object_15b.png; object_08b.png; object_13a.png; object_12c.png; object_13c.png; object_10c.png; object_14a.png; object_07b.png,object_01c.png; object_02c.png; object_02a.png; object_03a.png; object_04a.png; object_14c.png; object_08c.png; object_06b.png; object_03b.png; object_05a.png; object_02b.png; object_15a.png; object_14b.png; object_01a.png; object_12a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,5/8/2025, 6:58:48 PM,2025-05-08 23:58:48.866,,,,,,,,,,,,,,,,,,,,,,,,,,,
44198.19999998808,,make_fullscreen,58641,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
12578.800000011921,,instruct_1,71232,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
30407.19999998808,,instruct_2,101642,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
18871.69999998808,,instruct_3,120515,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
46582.39999997616,,instruct_4,167099,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
38331.90000003576,,instruct_5,205433,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
10511.699999988079,,instruct_6,215946,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
67203.09999996424,,instruct_7,283151,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,284114,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,284565,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,286579,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
16812.30000001192,,attentioncheck_help,303393,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,304358,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,304789,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
679.1999999880791,,prac_atten_color_black,306797,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,307784,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,308710,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
330.5999999642372,,prac_atten_color_black,310727,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,311220,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
