rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
11159.599999999627,{worker_id:6151e479b4ee16668948c7f2},id_enter,11162,object_11a.png; object_12c.png; object_05b.png; object_06b.png; object_14a.png; object_11c.png; object_03b.png; object_04a.png; object_02b.png; object_01b.png; object_05a.png; object_01c.png; object_06c.png; object_07b.png; object_07a.png,object_09a.png; object_10b.png; object_06a.png; object_05c.png; object_12a.png; object_04c.png; object_12b.png; object_08b.png; object_15b.png; object_14b.png; object_10c.png; object_03a.png; object_13c.png; object_09c.png; object_09b.png,object_11b.png; object_02c.png; object_13b.png; object_01a.png; object_14c.png; object_02a.png; object_07c.png; object_13a.png; object_15a.png; object_15c.png; object_03c.png; object_08c.png; object_08a.png; object_04b.png; object_10a.png,interleaved,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/8/2025, 1:32:17 PM,2025-05-08 20:32:17.539,,,,,,,,,,,,,,,,,,,,,,,,,,,
90426.59999999963,,make_fullscreen,101611,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
8096,,instruct_1,109710,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
14325,,instruct_2,124038,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
12251,,instruct_3,136291,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
25319.400000000373,,instruct_4,161612,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
17474.10000000149,,instruct_5,179088,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
8515.400000000373,,instruct_6,187605,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
37287.70000000112,,instruct_7,224894,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,225285,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,226302,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
1345.5,,prac_atten_color_black,228305,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,228697,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
468.59999999962747,,prac_atten_color,229693,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,231696,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,232107,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,232801,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
615.1000000014901,,prac_atten_color_black,234804,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,235516,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
747.1999999992549,,prac_atten_color,236381,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,238383,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,238926,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
569.5,,prac_atten_color,239788,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,241792,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,242336,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
559.1999999992549,,prac_atten_color,242951,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,244954,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,245745,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
525.7999999988824,,prac_atten_color,246701,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,248704,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,249155,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
507.59999999962747,,prac_atten_color,250155,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,252157,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,252565,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
655.3000000007451,,prac_atten_color,253401,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,255404,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,255974,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
625.4000000003725,,prac_atten_color,256863,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,258867,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
43904.09999999963,,attentioncheck_feedback,302772,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,,
14860.400000000373,,last_instruct,317633,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),321137,,,,,,,,black_plus_sign,,,null,object_06a.png,object_13b.png,,,,,,,,,,,,,,,,,,,,,
