rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
42107.299999952316,{worker_id:Qihao Hong},id_enter,42108,object_14a.png; object_07a.png; object_10c.png; object_12a.png; object_02a.png; object_04c.png; object_11a.png; object_07c.png; object_05a.png; object_13c.png; object_05b.png; object_15c.png; object_01c.png; object_10b.png; object_03c.png,object_02b.png; object_08a.png; object_09c.png; object_09a.png; object_07b.png; object_05c.png; object_14c.png; object_13b.png; object_13a.png; object_06b.png; object_11b.png; object_06c.png; object_01b.png; object_04a.png; object_10a.png,object_03a.png; object_08b.png; object_15b.png; object_04b.png; object_12b.png; object_06a.png; object_02c.png; object_08c.png; object_11c.png; object_15a.png; object_09b.png; object_03b.png; object_14b.png; object_12c.png; object_01a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,2025/4/27 20:05:26,2025-04-28 00:05:26.515,,,,,,,,,,,,,,,,,,,,,,,,,,,
16992.699999928474,,make_fullscreen,59103,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
3529.5,,instruct_1,62634,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
16539,,instruct_2,79174,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
8956,,instruct_3,88131,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
12483,,instruct_4,100615,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
10293.100000023842,,instruct_5,110909,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
3416.2000000476837,,instruct_6,114326,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
22949.5,,instruct_7,137276,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,137699,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
